reporting_date,site,radar_country_code,radar_group_sys_id,file_freq,record_type,table_name_source,table_name_output,Col_output,breach_value,column_name,table_name,balance
2025-08-31,HBAP,IN,HUBIN,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,book_value_in_functional_currency,Breach,G_L_REP_BK_VALUE,reporting_table_IN_G_L,703774.44
2025-08-31,HBAP,MU,TRTMU,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_MU_F_L,649773.44
2025-08-31,KRAKOW,CZ,HUBCZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,mif_f_table_cz,299406.57
2025-08-31,KRAKOW,CZ,TRTCZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,mif_f_table_cz,294530.81
2025-08-31,KRAKOW,PL,TRTPL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTPL_F_L_REP_EOP_BAL,426381.71
2025-08-31,KRAKOW,IL,TRTIL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_IL_F_L,986639.15
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_CL_F_L,896102.0
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,accrued_interest_amount_in_functional_currency,Breach,F_L_REP_ACRD_INT,reporting_table_CL_F_L,359336.74
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,clean_economic_value_in_functional_currency,Breach,G_L_REP_PSMRK_MRKT_AMT,reporting_table_CL_G_L,274768.21
2025-08-31,MENA,EG,TRTEG,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,accrued_interest_amount_in_functional_currency,Breach,F_L_REP_ACRD_INT,reporting_table_EG_F_L,655863.65
2025-08-31,MENA,QA,TRTQA,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,clean_economic_value_in_functional_currency,Breach,G_L_REP_PSMRK_MRKT_AMT,mif_g_table_qa,287218.26
2025-08-31,MENA,BH,TRTBH,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_BH_F_L,708567.41
2025-08-31,MENA,QA,TRTQA,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTQA_F_L_REP_EOP_BAL,568283.12
2025-08-31,MENA,DZ,TRTDZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTDZ_F_L_REP_EOP_BAL,357986.87
2025-08-31,RoHBEU,CH,TRTCH,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTCH_F_L_REP_EOP_BAL,358761.72
