reporting_date,site,radar_country_code,radar_group_sys_id,file_freq,record_type,table_name_source,table_name_output,Col_output,breach_value,column_name,table_name,balance
2025-08-31,HBAP,IN,HUBIN,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,book_value_in_functional_currency,Breach,G_L_REP_BK_VALUE,reporting_table_IN_G_L,497287.52
2025-08-31,HBAP,MU,TRTMU,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTMU_F_L_REP_EOP_BAL,528547.3
2025-08-31,KRAKOW,CZ,HUBCZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,mif_f_table_cz,542120.43
2025-08-31,KRAKOW,CZ,TRTCZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTCZ_F_L_REP_EOP_BAL,617312.28
2025-08-31,KRAKOW,PL,TRTPL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_PL_F_L,470369.85
2025-08-31,KRAKOW,IL,TRTIL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,mif_f_table_il,625582.81
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_CL_F_L,52665.1
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,accrued_interest_amount_in_functional_currency,Breach,F_L_REP_ACRD_INT,reporting_table_CL_F_L,28834.42
2025-08-31,LATAM,CL,TRTCL,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,clean_economic_value_in_functional_currency,Breach,G_L_REP_PSMRK_MRKT_AMT,datahub_table_TRTCL_G_L_REP_PSMRK_MRKT_AMT,524150.07
2025-08-31,MENA,EG,TRTEG,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,accrued_interest_amount_in_functional_currency,Breach,F_L_REP_ACRD_INT,reporting_table_EG_F_L,33764.14
2025-08-31,MENA,QA,TRTQA,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_TRADED_PRODUCTS,clean_economic_value_in_functional_currency,Breach,G_L_REP_PSMRK_MRKT_AMT,datahub_table_TRTQA_G_L_REP_PSMRK_MRKT_AMT,276285.71
2025-08-31,MENA,BH,TRTBH,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,mif_f_table_bh,809687.35
2025-08-31,MENA,QA,TRTQA,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_QA_F_L,338897.47
2025-08-31,MENA,DZ,TRTDZ,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,reporting_table_DZ_F_L,815908.08
2025-08-31,RoHBEU,CH,TRTCH,MONTHLY,MIF_B_IP_SOURCE_V05_00,MIF_PRODUCT,MIF_CONVERTED_SDI_WHOLESALE,gross_gl_balance_in_functional_currency,Breach,F_L_REP_EOP_BAL,datahub_table_TRTCH_F_L_REP_EOP_BAL,598105.87
